id,site,signs,pdr_reading,sanskrit,translation_yaj,coverage
290.1,Harappa,M033 M310,puli-kur,aYja,O anointer[=भिषक् √अञ्ज् + अच्],1.0
291.1,Harappa,M324 M086 M276 M256 M436 M073 M154 M318 M050 M092 M364,kur-oru-kur-kur-mu-kōṉ-kur-kur-pār-elu-kur,sattama-mada-mAKa-varam,The very best[RV] oblation[Hariv] of the best[ChUp] Soma[RV],1.0
292.1,Harappa,M324 M009 M011 M003,kur-āṇ-kaḷiṟu-kalam,jawAm,hair braids(worn by Śiva)[MBh],1.0
293.1,Harappa,M050 M208 M217 M002 862 M032,pār-kur-kur-kuṉ-[862]-koL,harivat-nAma,Indra's[harivat = Name of Indra; RV] sign[=nāman RV] [sandhi त् + न = न्न ],0.833
294.1,Harappa,M324 M332 M070 M921 M315 M058,kur-intu-vēl-ar-kur-ke,maha-dasram,The great[RV] accomplisher[RV],1.0
295.1,Harappa,M824 M182 M099,māṉ-kur-kol/koḷ,id Dara,"Indeed[Ved], O bearer[MBh]",1.0
295.2,Harappa,M324 M924,kur-ru,ref:26.1,,1.0
297.1,Harappa,M217 M058 M062,kur-ke-erutu,mammana,O ever meditating one[√मन् यङि अच्](Rudra),1.0
297.2,Harappa,M098 M324 M221,āl-kur-al,ref:260.2,,1.0
300.1,Harappa,M324 M048 M325 M851,kur-mu/muṉ-kur-al,rARa-hAna,The resounding[√रण् घञ्] destroyer[Bhartṛ],1.0
300.2,Harappa,M310 M033 M711 M335 M289 M099,kur-puli-ma-kur-kur-kol/koḷ,imam mfjam,This destroyer[BhP],1.0
303.1,Harappa,M001 M332 M050 M003 M002 M385,tōḷ-intu-pār-kalam-kuṉ-kur,rava-ja-marya,O roarer-born man,1.0
305.1,Harappa,M099,kol/koḷ,iH,O wanderer[√इ],1.0
305.2,Harappa,M256,kur,ref:201.1,,1.0
306.1,Harappa,M324 M009 M194,kur-āṇ-kaṭ,ref:157.1,,1.0
308.1,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
309.1,Harappa,M324 785 M004,kur-[785]-kēḷ,caran,O wanderer[√चर् शतृ],0.667
310.1,Harappa,M095 M276 M033,vē-kur-puli,ju aTa,The swift[जू nns] one indeed[RV],1.0
310.2,Harappa,M033 M073,puli-kōṉ,ref:162.2,,1.0
311.1,Harappa,M098 M324 767 M050 M095,āl-kur-[767]-pār-vē,tma-trARI,The one with self[RV] protection[MBh][SR: bilmin kavacin],0.8
311.2,Harappa,M310 M050 M004,kur-pār-kēḷ,caman,O eater[चम् शतृ; AV 19.55.5: annāda],1.0
312.1,Harappa,M039,āṉai,naH,For us,1.0
313.1,Harappa,M525 M230 M050,mu-kur-pār,maham,The Great one[RV],1.0
313.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
315.1,Harappa,M086 M005 M002,oru-kōṉ-kuṉ,vapra,O one who is a river bank[MBh; SR:kūlya],1.0
316.1,Harappa,M324 M172 M062,kur-kur-erutu,mAna,O one who advises[√मन् णिचि अच्; SR: mantriṇe],1.0
316.2,Harappa,M033 M310,puli-kur,ref:290.1,,1.0
317.1,Harappa,M098 M051 M032,āl-pū/puḷ-koL,hanmani,In the act of killing(from deadly blow)[RV][Loc cf RV bhare 1.112.01],1.0
317.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
318.1,Harappa,M050 M016,pār-kaḷiṟu,ref:151.1,,1.0
