sign_id,numbering_system,description,wells_ids,mahadevan_ids,parpola_allographs,n_feature_dims,corpus_freq,start_rate,end_rate,internal_rate,in_corpus,source
P258,parpola_1982,"An X but drawn in outline, with tree stemming from bottom right corner",W693,M152,V574,2,2,0.0,1.0,0.0,True,mayig_features
P259,parpola_1982,"A central box, with orthogonal lines coming off in a pinwheel manner",W528,,V453,1,0,0,0,0,False,mayig_features
P260,parpola_1982,"An octothorpe, possibly rotated 45 degrees (see similarity with P359)",,M264,V742|V478,1,1,0.0,0.0,1.0,True,mayig_features
P261,parpola_1982,"Box with inward facing triangles on each corner, filled with small U's and X's",,,V441,0,0,0,0,0,False,mayig_features
P262,parpola_1982,Tall rectangle with no decoration,W600|W625,M237,V059,0,0,0,0,0,False,mayig_features
P263,parpola_1982,"Tall rectangle with no decoration, connected to a tall vertical stroke on the left by a short diagonal line",,,V721,0,0,0,0,0,False,mayig_features
P264,parpola_1982,Tall rectangle with two horizontal hatches going across the center,W603,M238,V060|V545,0,0,0,0,0,False,mayig_features
P265,parpola_1982,"Tall rectangle with vertical full height bar inside, and a horizontal bar across the left or right area",W621|W622,M242,V061|V687,1,21,0.7143,0.2381,0.0476,True,mayig_features
P266,parpola_1982,"Tall rectangle with vertical full height bar inside, and a horizontal bar across the left or right area. Small U in the other area",W623,M243,V345,1,0,0,0,0,False,mayig_features
P267,parpola_1982,"Tall rectangle a box affixed to the left interior, the box has a horizontal crossbar",W602,M239,V064,0,0,0,0,0,False,mayig_features
P268,parpola_1982,A grid of x by y cells,W615,M241|M245,V069|V062|V092|V554|V696,2,84,0.5119,0.2143,0.2738,True,mayig_features
P269,parpola_1982,"A grid of x by y cells, with a tall vertical stroke on one side, both connected by a short diagonal line",W616,M246,V758,3,0,0,0,0,False,mayig_features
P270,parpola_1982,"Rectangle, taller than wide, with vertical strokes for teeth inside on top and bottom",W630|W631|W632|W633|W634|W635|W636|W637|W638|W639,M244,V066|V065|V067|V068|V396|V400|V693,2,45,0.0,0.4444,0.5556,True,mayig_features
P271,parpola_1982,"Rectangle, taller than wide, with vertical strokes for teeth inside on top and bottom. Two right parentheses inside everything",W640,,V405,1,0,0,0,0,False,mayig_features
P272,parpola_1982,Trapezoid with inner rectangle,W362,M201,V318|V290,1,2,0.0,0.0,1.0,True,mayig_features
P273,parpola_1982,"Wide rectangle, with an X from corner to corner",,,V731|V792,0,0,0,0,0,False,mayig_features
P274,parpola_1982,"Tall central rectangle, flanked by two small boxes on the bottom",W610,M257,V029,1,0,0,0,0,False,mayig_features
P275,parpola_1982,"Square in middle, possibly with horizontal lines across, and lines coming from top and bottom",W510|W511|W512|W513,M253,V072|V073|V074|V317|V783,3,8,0.25,0.25,0.5,True,mayig_features
P276,parpola_1982,Square at bottom with vertical bar coming off top middle,W590,M249,V027|V491,0,158,0.0506,0.2089,0.7405,True,mayig_features
P277,parpola_1982,Square at bottom with vertical bar coming off top middle. Caged by four small vertical strokes,W592,M250,V536,0,0,0,0,0,False,mayig_features
P278,parpola_1982,Square at bottom with vertical bar coming off top middle. Interior is the 'pincer' motif with two leaves at the middle,W593,M251,V572,0,0,0,0,0,False,mayig_features
P279,parpola_1982,"Square at bottom with vertical bar coming off top middle, and two diagonals also coming from the bottom of the vertical bar",,,V451,0,0,0,0,0,False,mayig_features
P280,parpola_1982,"Box with vertical stroke off top center, horizontal striping",W595,M252,V028|V256,1,29,0.2759,0.1034,0.6207,True,mayig_features
P281,parpola_1982,Vertical line with two small boxes attached to the top,W611,M256,V358,0,5,0.0,0.0,1.0,True,mayig_features
P282,parpola_1982,"Box on top left, vertical extender from bottom left, horizontal extenders all along the right side",W950,M170,V259,0,0,0,0,0,False,mayig_features
P283,parpola_1982,"Rectangle, but with bottom line missing, and bottom-half of left line missing (like backward greek capital gamma with a prominent serif)",W440,M127,V031|V502,0,37,0.027,0.2703,0.7027,True,mayig_features
P284,parpola_1982,"Backward capital Gamma with serif, small vertical stroke inside the area",W443,M128,V477|V171,1,0,0,0,0,False,mayig_features
P285,parpola_1982,"Trapezoid with no bottom line, bird-foot in bottom",W572,M195,V049,0,5,0.0,0.2,0.8,True,mayig_features
P286,parpola_1982,"Trapezoid with no bottom line, bird-foot in bottom, 'table' hat",W573,M196,V589,1,0,0,0,0,False,mayig_features
P287,parpola_1982,"Trapezoid with no bottom line, bird-foot in bottom. Two small vertical strokes on top",,,V711,0,0,0,0,0,False,mayig_features
P288,parpola_1982,"Trapezoid with no bottom line, two short outward perpendiculars off bottom left and right and from top center, bird-foot in bottom",,M194,V050|V683,0,36,0.0278,0.0,0.9722,True,mayig_features
P289,parpola_1982,"Trapezoid with no bottom line, small box resting on the top middle",W575,M197,V030|V261,1,54,0.0185,0.3148,0.6667,True,mayig_features
P290,parpola_1982,"Tall table. Underside has a horizontal line enclosing the top part of the underside, with vertical hatches inside. Small box on top of the table.",W578|W579,M198,V436,2,3,0.0,1.0,0.0,True,mayig_features
P291,parpola_1982,"Tall table. Underside has a horizontal line enclosing the top part of the underside, with vertical hatches inside. Small box on top of the table. Left paren attached to left side, paren has small semicircle at center. Semicircle has diagonal continuing through the paren.",,,V576,0,0,0,0,0,False,mayig_features
P292,parpola_1982,Tall table. Small decoration on top,W570|W571,M199|M200,V371|V773,1,0,0,0,0,False,mayig_features
P293,parpola_1982,"Large 'H', possibly with top points connected by horizontal bar",W315|W360,M199,V057|V055|V447,1,8,0.125,0.625,0.25,True,mayig_features
P294,parpola_1982,"Large 'H', possibly with top points connected by horizontal bar. Table for a hat.",W361,M203,V334,1,3,0.0,1.0,0.0,True,mayig_features
