yajnadevam_glyph_id,registry_sign_id_yajnadevam,best_parpola_match,match_confidence,match_count,total_alignments,top3_parpola,review_status,method,source
84,Y0084,P253,1.0,1,1,P253:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
90,Y0090,P013,1.0,8,8,P013:8,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
93,Y0093,P014,1.0,1,1,P014:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
94,Y0094,P003,1.0,1,1,P003:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
95,Y0095,P023,1.0,1,1,P023:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
100,Y0100,P009,1.0,2,2,P009:2,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
101,Y0101,P010,1.0,1,1,P010:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
104,Y0104,P020,1.0,1,1,P020:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
107,Y0107,P007,1.0,1,1,P007:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
111,Y0111,P040,1.0,1,1,P040:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
112,Y0112,P041,1.0,1,1,P041:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
119,Y0119,P038,1.0,1,1,P038:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
125,Y0125,P035,1.0,3,3,P035:3,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
130,Y0130,P026,1.0,2,2,P026:2,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
136,Y0136,P022,1.0,1,1,P022:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
140,Y0140,P011,1.0,8,8,P011:8,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
142,Y0142,P031,1.0,3,3,P031:3,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
144,Y0144,P032,1.0,1,1,P032:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
151,Y0151,P001,1.0,3,3,P001:3,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
154,Y0154,P004,1.0,1,1,P004:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
156,Y0156,P004,1.0,5,5,P004:5,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
165,Y0165,P342,1.0,1,1,P342:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
168,Y0168,P003,1.0,1,1,P003:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
