formula_id,sign_sequence,n_gram_size,proposed_reading,inscription_count,site_count,site_distribution,dominant_grammar_pattern,evidence_tier,caveats,is_failure_case
F014,M324 M194,2,?M324 + ?M194,137,8,"Harappa(81), Mohenjo-daro(45), Lothal(3), Dholavira(3), Kalibangan(2)",TMM,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 28%),True
F015,M324 000,2,?M324 + ?000,134,11,"Harappa(65), Mohenjo-daro(26), Dholavira(17), Kalibangan(14), Lothal(6)",M?,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 36%),True
F016,M090 M324,2,?M090 + ?M324,124,10,"Mohenjo-daro(54), Harappa(41), Lothal(15), Dholavira(4), Kalibangan(4)",MMMMM,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 9%),True
F017,520 520 520,3,?520 + ?520 + ?520,122,1,unknown(122),I?IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,MEDIUM,3/3 signs lack anchor readings,True
F018,M086 M276,2,?M086 + ?M276,119,11,"Harappa(57), Mohenjo-daro(45), Dholavira(5), Lothal(4), Chanhu-daro(2)",MMMMMIMMIMM,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 9%),True
F019,M310 M034,2,?M310 + ?M034,115,2,"Harappa(114), Mohenjo-daro(1)",MI,MEDIUM,2/2 signs lack anchor readings,True
F020,874 874,2,?874 + ?874,111,1,unknown(111),MMM,MEDIUM,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 14%),True
F021,M324 M009,2,?M324 + ?M009,109,9,"Mohenjo-daro(62), Harappa(35), Lothal(3), Chanhu-daro(2), Dholavira(2)",MIM,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 8%),True
F022,520 520 520 520,4,?520 + ?520 + ?520 + ?520,107,1,unknown(107),I?IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,MEDIUM,4/4 signs lack anchor readings,True
F023,M324 M086,2,?M324 + ?M086,107,10,"Harappa(56), Mohenjo-daro(38), Lothal(3), Dholavira(3), Chanhu-daro(2)",MMMMMIMMIMM,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 10%),True
F024,M002 M378,2,?M002 + ?M378,102,10,"Mohenjo-daro(54), Harappa(25), Kalibangan(6), Lothal(5), Dholavira(4)",MMIM,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 14%),True
F025,M324 M086 M276,3,?M324 + ?M086 + ?M276,98,10,"Harappa(52), Mohenjo-daro(34), Lothal(3), Dholavira(3), Allahdino(1)",MMMMMIMMIMM,HIGH,3/3 signs lack anchor readings; inconsistent grammar patterns (top pattern only 11%),True
F026,000 000 000,3,?000 + ?000 + ?000,98,9,"Harappa(43), Mohenjo-daro(22), Lothal(12), Dholavira(8), Kalibangan(6)",???,HIGH,3/3 signs lack anchor readings; inconsistent grammar patterns (top pattern only 23%),True
F027,M310 M032,2,?M310 + ?M032,97,4,"Harappa(94), Kalibangan(1), Unknown(1), Lothal(1)",MM,HIGH,2/2 signs lack anchor readings,True
F028,400 400,2,kur + kur,96,1,unknown(96),MMMMMMMM,MEDIUM,inconsistent grammar patterns (top pattern only 15%),True
F029,820 820,2,?820 + ?820,86,1,unknown(86),TTTTTT,MEDIUM,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 47%),True
F030,M050 M092,2,?M050 + ?M092,86,6,"Mohenjo-daro(42), Harappa(40), Chanhu-daro(1), Lothal(1), Pabumath(1)",MIM,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 21%),True
F031,481 481,2,?481 + ?481,81,1,unknown(81),????????????????????????????????????????????????????????????????????????,MEDIUM,2/2 signs lack anchor readings,True
F032,M062 M002,2,?M062 + ?M002,81,4,"Harappa(49), Mohenjo-daro(28), Lothal(3), Chanhu-daro(1)",MIIMT,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 36%),True
F033,481 481 481,3,?481 + ?481 + ?481,71,1,unknown(71),????????????????????????????????????????????????????????????????????????,MEDIUM,3/3 signs lack anchor readings,True
F034,090 090,2,aintu + aintu,70,1,unknown(70),MMM,MEDIUM,,False
F035,481 481 481 481,4,?481 + ?481 + ?481 + ?481,69,1,unknown(69),????????????????????????????????????????????????????????????????????????,MEDIUM,4/4 signs lack anchor readings,True
F036,203 203,2,kur + kur,68,1,unknown(68),MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM,MEDIUM,,False
F037,045 045,2,yānai + yānai,67,1,unknown(67),IIII,MEDIUM,,False
F038,M217 M050,2,?M217 + ?M050,67,7,"Mohenjo-daro(32), Harappa(30), Banawali(1), Lothal(1), Dholavira(1)",MIM,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 28%),True
